Language,Domain/Class,Total Resources,Resource Successfully Parsed,Total List elements extracted,Total List elements,Statements Serialized,Evaluation Accuracy
,,,,,,,
en,MusicGenre,1245,1142,5012,11944,5851,0.4196249163
en,MusicalArtist,52759,50873,528985,698078,1340800,0.7577734866
en,Actor,6606,6334,59323,75016,134013,0.7908046283
en,Band,34505,32719,406226,480315,867984,0.8457491438
en,University,20343,19143,169844,344548,250167,0.4929472817
en,Magazine,5222,4904,16825,32390,27458,0.5194504477
en,Newspaper,6861,6459,9953,19002,17546,0.5237869698
en,School,33157,31511,133112,381153,256927,0.3492350841
